"name","country","pop"
"Moscow","Russian Federation","10381222"
"London","United Kingdom","7556900"
"Saint Petersburg","Russian Federation","5028000"
"Berlin","Germany","3426354"
"Madrid","Spain","3255944"
"Kyiv","Ukraine","2797553"
"Rome","Italy","2318895"
"Paris","France","2138551"
"Bucharest","Romania","1877155"
"Minsk","Belarus","1742124"
"Budapest","Hungary","1741041"
"Hamburg","Germany","1739117"
"Warsaw","Poland","1702139"
"Vienna","Austria","1691468"
"Barcelona","Spain","1621537"
"Stockholm","Sweden","1515017"
"Kharkiv","Ukraine","1430885"
"Novosibirsk","Russian Federation","1419007"
"Yekaterinburg","Russian Federation","1349772"
"Nizhniy Novgorod","Russian Federation","1284164"
"Belgrade","Serbia","1273651"
"Munich","Germany","1260391"
"Milan","Italy","1236837"
"Prague","Czech Republic","1165581"
"Copenhagen","Denmark","1153615"
"Sofia","Bulgaria","1152556"
"Samara","Russian Federation","1134730"
"Omsk","Russian Federation","1129281"
"Kazan","Russian Federation","1104738"
"Rostov-na-Donu","Russian Federation","1074482"
"Chelyabinsk","Russian Federation","1062919"
"Ufa","Russian Federation","1033338"
"Dnipro","Ukraine","1032822"
"Donetsk","Ukraine","1024700"
"Dublin","Ireland","1024027"
"Brussels","Belgium","1019022"
"Volgograd","Russian Federation","1011417"
"Odessa","Ukraine","1001558"
"Birmingham","United Kingdom","984333"
"Perm","Russian Federation","982419"
"Koeln","Germany","963395"
"Naples","Italy","959470"
"Krasnoyarsk","Russian Federation","927200"
"Turin","Italy","870456"
"Liverpool","United Kingdom","864122"
"Saratov","Russian Federation","863725"
"Voronezh","Russian Federation","848752"
"Valencia","Spain","814208"
"Zaporizhia","Ukraine","796217"
"Marseille","France","794811"
"Lodz","Poland","768755"
"Krakow","Poland","755050"
"Riga","Latvia","742572"
"Amsterdam","Netherlands","741636"
"Nottingham","United Kingdom","729977"
"Lviv","Ukraine","717803"
"Sevilla","Spain","703206"
"Tol'yatti","Russian Federation","702879"
"Zagreb","Croatia","698966"
"Sarajevo","Bosnia and Herzegovina","696731"
"Sheffield","United Kingdom","685368"
"Zaragoza","Spain","674317"
"Athens","Greece","664046"
"Kryvyi Rih","Ukraine","652380"
"Frankfurt am Main","Germany","650000"
"Krasnodar","Russian Federation","649851"
"Palermo","Italy","648260"
"Ulyanovsk","Russian Federation","640680"
"Chisinau","Moldova, Republic of","635994"
"Wroclaw","Poland","634893"
"Izhevsk","Russian Federation","631038"
"Bristol","United Kingdom","617280"
"Yaroslavl","Russian Federation","606730"
"Barnaul","Russian Federation","599579"
"Rotterdam","Netherlands","598199"
"Essen","Germany","593085"
"Glasgow","United Kingdom","591620"
"Stuttgart","Germany","589793"
"Dortmund","Germany","588462"
"Vladivostok","Russian Federation","587022"
"Irkutsk","Russian Federation","586695"
"Genoa","Italy","580223"
"Oslo","Norway","580000"
"Khabarovsk","Russian Federation","579000"
"Khabarovsk Vtoroy","Russian Federation","578303"
"Duesseldorf","Germany","573057"
"Goeteborg","Sweden","572799"
"Poznan","Poland","570352"
"Malaga","Spain","568305"
"Helsinki","Finland","558457"
"Orenburg","Russian Federation","550204"
"Bremen","Germany","546501"
"Vilnius","Lithuania","542366"
"Novokuznetsk","Russian Federation","539616"
"Ryazan'","Russian Federation","520173"
"Tyumen","Russian Federation","519119"
"Lisbon","Portugal","517802"
"Lipetsk","Russian Federation","515655"
"Hannover","Germany","515140"
"Penza","Russian Federation","512602"
"Mykolayiv","Ukraine","510840"
"Naberezhnyye Chelny","Russian Federation","509870"
"Leicester","United Kingdom","508916"
"Leipzig","Germany","504971"
"Kalininskiy","Russian Federation","504641"
"Duisburg","Germany","504358"
"Astrakhan","Russian Federation","502533"
"Nuernberg","Germany","499237"
"Makhachkala","Russian Federation","497959"
"Dresden","Germany","486854"
"Tomsk","Russian Federation","485519"
"Mariupol","Ukraine","481626"
"Gomel","Belarus","480951"
"Kemerovo","Russian Federation","477090"
"Skopje","Macedonia, The Former Yugoslav Republic of","474889"
"The Hague","Netherlands","474292"
"Lyon","France","472317"
"Tula","Russian Federation","468825"
"Edinburgh","United Kingdom","464990"
"Gdansk","Poland","461865"
"Antwerpen","Belgium","459805"
"Kirov","Russian Federation","457383"
"Leeds","United Kingdom","455123"
"Luhansk","Ukraine","452000"
"Cardiff","United Kingdom","447287"
"Cheboksary","Russian Federation","446781"
"Murcia","Spain","436870"
"Kaliningrad","Russian Federation","434954"
"Toulouse","France","433055"
"Bryansk","Russian Federation","427236"
"Bratislava","Slovakia","423737"
"Ivanovo","Russian Federation","420839"
"Sevastopol","Ukraine","416263"
"Magnitogorsk","Russian Federation","413351"
"Wandsbek","Germany","411422"
"Kursk","Russian Federation","409431"
"Szczecin","Poland","407811"
"Palma","Spain","401270"
"Tver","Russian Federation","400212"
"Khmelnytskyi","Ukraine","398346"
"Manchester","United Kingdom","395515"
"Tallinn","Estonia","394024"
"Bochum","Germany","385729"
"Sector 3","Romania","385439"
"Las Palmas de Gran Canaria","Spain","381847"
"Nizhny Tagil","Russian Federation","381116"
"Bochum-Hordel","Germany","380000"
"Makiyivka","Ukraine","376610"
"Tirana","Albania","374801"
"Kaunas","Lithuania","374643"
"Stoke-on-Trent","United Kingdom","372775"
"Brno","Czech Republic","369559"
"Mahilyow","Belarus","369200"
"Sector 6","Romania","367760"
